treatment_id,treatment_name,fee
780,MBM 9 Spleen Pancreas,188.38
781,rexall lice killing,325.28
782,Humphreys Baby Teething Relief Original,90.11
783,Nausea Headache,81.24
784,American Elm,156.6
785,Penicillin G Potassium,385.46
786,Neutrogena SkinClearing,297.61
787,Califlora,318.08
788,Therapytion Nokmosu Hair Tonic,189.08
789,YELLOW CURLY DOCK POLLEN,292.83
790,Menstrual Relief,314.47
791,Risperidone,61.75
792,APTIDINE,156.76
793,"Dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate, and amphetamine sulfate",366.08
794,Silver Maple Pollen,388.05
795,Clindamycin hydrochloride,134.81
796,temazepam,315.23
797,Dicyclomine Hydrochloride,50.12
798,HYDRA LIFE PRO-YOUTH SKIN TINT 3,144.59
799,12 Hour Original Nasal Decongestant,236.96
800,GUNA-INF ALPHA,293.02
801,Metformin Hydrochloride,204.95
802,Goodys,359.02
803,Alcohol Prep,337.54
804,BestHealth Honey Lemon,110.0
805,Xanax,246.99
806,Antibacterial Foaming Hand Sanitizer,272.78
807,Rheumatism Diarrhea,282.78
808,Duck Feathers,113.59
809,UNDECYLENIC ACID,207.64
810,Preferred Plus Chest Congestion Relief,322.87
811,Anti-Bacterial Hand Gel Pink Lemonade,252.15
812,DESLORATADINE,294.64
813,ELF Tinted Moisturizer SPF 15,297.62
814,OVACE,222.07
815,ATOMY HERBAL HAIR TONIC,385.5
816,THERA Moisturizing Body Cleanser,148.3
817,CYZONE,323.11
818,Good Neighbor Pharmacy Alcohol Antiseptic Skin Cleanser,54.34
819,Methocarbamol,99.57
820,Ribavirin,287.03
821,Unithroid,134.62
822,SENSAI CELLULAR PERFORMANCE WRINKLE REPAIR COLLAGENERGY,194.73
823,Losartan Potassium and Hydrochlorothiazide,246.22
824,Amoxicillin,364.9
825,Pollen Mix,132.56
826,EUCALYPTUS GLOBULUS,144.29
827,Cough,225.68
828,good sense allergy and congestion relief,375.35
829,Orphenadrine Citrate,125.6
830,Wart Control,336.74
831,Antimonium Crudum,69.22
832,Motion Sickness II,296.45
833,Norpramin,301.51
834,Miconazole 3,205.23
835,ACTIVE RESURGENCE TONER,373.39
836,Medi Stem Collagen Ampoule,174.67
837,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL),57.32
838,ADVATE,57.69
839,AfterBurn,58.69
840,KIDS CHOICE,350.61
841,Hydralazine Hydrochloride,252.65
842,PROMETHAZINE DM,375.57
843,Nadolol,271.48
844,Hemorrhoidal,263.63
845,Magnesium Oxide,267.18
846,Midazolam,258.22
847,Curad Alcohol,254.83
848,Simvastatin,275.12
849,Lovastatin,136.31
850,Quinapril,330.72
851,HEADACHE SORE THROAT,387.66
852,Sani Wipes,67.07
853,NARS ALL DAY LUMINOUS FOUNDATION,222.07
854,DayQuil Severe,113.69
855,Xtandi,210.23
856,Aruba Aloe Deodorant Women,372.8
857,Warfarin Sodium,298.97
858,CETIRIZINE HYDROCHLORIDE,208.48
859,Polyethylene Glycol (3350),170.3
860,Levetiracetam,265.57
861,Bryonia Alba,214.7
862,Carvedilol,187.83
863,Good Neighbor Pharmacy Acid Reducer,255.16
864,Tolterodine Tartrate,185.8
865,THE ORIGINAL NATURAL HERB COUGH DROPS,184.81
866,Clonidine Hydrochloride,327.2
867,Polygonum,171.93
868,Cephalexin,142.4
869,GKhair Anti-Dandruff,145.0
870,Oxygen,177.65
871,Chicken Meat,321.93
872,Rabeprazole sodium,98.87
873,dicyclomine hydrochloride,399.67
874,SUSTIVA,332.18
875,Childrens Non-Drowsy,378.81
876,Asthma Allergies,334.37
877,English Walnut,104.45
878,Cerezyme,235.16
879,Amlodipine Besylate,251.67
880,SmartMouth,152.84
881,LBEL COULEUR LUXE AMPLIFIER XP,138.34
882,CHENOPODIUM ALBUM POLLEN,254.3
883,Donepezil Hydrochloride,114.07
884,Sun Shades Lip Balm,139.11
885,Acetic Acid,124.52
886,Doxycycline,120.91
887,Losortan Potassium,114.64
888,Hourglass Illusion Tinted Moisturizer Ivory,241.36
889,Dry Eye Therapy,168.17
890,Candida Plus,180.58
891,Extralasting,190.7
892,Organix Complete,226.79
893,SHISEIDO THE MAKEUP FOUNDATION,66.77
894,Loma Lux Psoriasis,78.33
895,ALPRAZOLAM EXTENDED-RELEASE,131.18
896,REBETOL,308.3
897,Norepinephrine,166.68
898,Tranexamic Acid,188.52
899,Lotrimin,78.82
900,Alpha Foaming E-2,337.59
901,Neutrogena Nourishing Long Wear Makeup Tone Correcting Complex Sunscreen Broad Spectrum SPF20,163.52
902,PROTECT AND SERVE,93.09
903,XIFAXAN,66.68
904,Long-Lasting Wicked Fresh - Spearmint Ice,182.48
905,SOMAVERT,322.65
906,Patricia Wexler Universal Anti-Aging Moisturizer with Sunscreen Broad Spectrum SPF 28,95.08
907,Oxycodone Hydrochloride,363.13
908,Cold Spot,155.59
909,PureForce,278.26
910,No7 Lifting and Firming Foundation Sunscreen SPF 15 New Ivory,119.33
911,STELARA,213.12
912,Bethanechol Chloride,277.87
913,zidovudine,65.0
914,CLE DE PEAU BEAUTE FOUNDATION I,340.28
915,Lomedia 24 Fe,154.63
916,Dandruff,345.93
917,Pazol,352.96
918,Metoprolol Tartrate,103.6
919,Dawn,331.12
920,Western Juniper,94.67
921,Tussin Sugar Free Cough,130.11
922,Cortomycin,366.72
923,BANANA BOAT,59.34
924,Premarin,176.26
925,Walgreens Anticavity and Antigingivitis Whitening,82.57
926,Loratadine,344.54
927,Sprayology Stress Relief,51.7
928,VENTOLIN,95.36
929,Remodulin,242.69
930,NeobryXol Forte,184.56
931,SINGULAIR,393.03
932,Lamotrigine,347.08
933,Metronidazole,219.07
934,Hydrocodone Bitartrate And Acetaminophen,184.45
935,Red Kidney Beans,270.26
936,Appetite - Craving Control,192.31
937,Mixture of Standardized and Non-Standardized Coastal Grasses,60.02
938,Fluconazole,332.5
939,SHISEIDO SHEER AND PERFECT COMPACT (REFILL),74.14
940,PERTZYE,396.41
941,SHISEIDO WHITE LUCENT BRIGHTENING SPOT-CONTROL FOUNDATION (REFILL),374.42
942,Midazolam,278.78
943,Fentanyl Citrate,353.13
944,Quetiapine fumarate,267.61
945,Retin-A,93.31
946,the Balm BalmShelter tinted moisturizer SPF 18 broad spectrum after dark,355.71
947,Acarbose,201.7
948,simply right nicotine,258.65
949,Peptic Relief,94.16
950,Kit for the Preparation of Technetium Tc 99m Mebrofenin,212.73
951,"butalbital, acetominophen and caffeine",385.39
952,Healthy Accents Naproxen Sodium,345.35
953,Oxycodone Hydrochloride,350.51
954,Alprazolam,242.89
955,Perfect Calming Serum,283.1
956,Prazosin Hydrochloride,100.51
957,Levothyroxine Sodium,292.88
958,Rizatriptan Benzoate,382.81
959,Tekturna HCT,231.13
960,Gastrografin,288.56
961,Smart Sense migraine relief,146.39
962,ACTIQ,391.91
963,Oracea,386.27
964,SUNMARK TUSSIN CF,56.88
965,BeneFIX,128.68
966,Mirapex,191.11
967,Rayito de Sol,372.82
968,Mucor plumbeus,140.79
969,OPANA ER,176.99
970,ZONISAMIDE,282.52
971,INFANTS TEETHING,58.11
972,PLACENTA EX DEEP LINE,323.76
973,Quinapril Hydrochloride and Hydrochlorothiazide,176.71
974,PanOxyl,323.53
975,Eye Wash,163.56
976,Avapro,268.21
977,Methylprednisolone,248.02
978,good neighbor pharmacy sinus,301.36
979,Nifedipine,66.6
980,Trilipix,324.27
981,simvastatin,103.21
982,NO-WEAK-NAILS,239.04
983,Pasta de Lassar Andromaco,243.98
984,Android,364.39
985,Sucrets,99.8
986,Synthroid,280.05
987,ALTACE,261.72
988,Piroxicam,104.27
989,citroma,275.57
990,Xanax,120.23
991,NV-HP,107.6
992,simply right naproxen sodium,267.38
993,Antiseptic Mouth Rinse,170.28
994,Disney Antibacterial Hand Wipes,98.7
995,ESIKA 3-IN-1 PRO MAKE UP FOUNDATION SPF 20 BASE DE MAQUILLAJE PARA ROSTRO 3-EN-1 PRO FPS 20,154.96
996,Levonorgestrel and Ethinyl Estradiol,379.65
997,Hydrocodone Bitartrate and Acetaminophen,318.55
998,Good Neighbor Pharmacy loratadine d,233.56
999,METRONIDAZOLE,291.65
1000,anti itch,258.7
